name,website,type,map-layer,for-sale,wholesale,csa,free,garden-space,garden-supply,farming-education,advocacy,farming-research,inprogress,adopted,education,mapping,research,policy,fundraising,affordability,food-culture,coll-dist,leadership,math-science-humanities,entrepreneur,job,economic,community,groups,tag
"Child and Adult Care Food Program (See Los Angeles Regional Food Bank, After-School Meal and Summer Lunch Program)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cityscape Seeds,https://www.change-making.com/gardens/cityscape-seeds/,For-Profit,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,Food for sale
"Community Redevelopment Agency of the City of Los Angeles, Community Market Conversion Program",http://www.crala.org/internet-site/Other/Healthy_Food_Access.cfm,Governmental Agency,Y,x,,,,,,,,,,,,,,,,,,,,,,,,,,Food equity policy
"Community Redevelopment Agency of the City of Los Angeles, Food Retailers Incentive Program",http://www.crala.org/internet-site/Other/Healthy_Food_Access.cfm,Governmental Agency,,,,,,,,,,,,,,,,x,,,,,,,,,,,,Job development
"Community Redevelopment Agency of the City of Los Angeles, Fresh Works Fund",http://www.crala.org/internet-site/Other/Healthy_Food_Access.cfm,Governmental Agency,?,,,,,,,,,,,,,,,,,,,,,,,x,,,,"Food for sale,Wholesale food,Community garden,Job development"
"Community Services Unlimited, Village Market Place",http://csuinc.org/programs/village-market-place/,Non-Profit Organization,Y,x,x,x,,,,,,,,,,,,,,,,,,,,x,,,,Garden supply
Earthbox,http://earthbox.com/,For-Profit,N,,,,,,x,,,,,,,,,,,,,,,,,,,,,Free food
"Fallen Fruit, Del Aire Public Fruit Park",http://fallenfruit.org/projects/public-fruit-park-los-angeles/,Community Activist,Y,,,,x,,,,,,,,,,,,,,,,,,,,,,,Adopted legislation
Farmer's Market CalFresh/EBT,,Subsidy,Y,,,,,,,,,,,x,,,,,,,,,,,,,,,,Garden space
Farmscape,http://farmscapegardens.com/,For-Profit,?,,,,,x,,,,,,,,,,,,,,,,,,,,,,Food waste advocacy
