UID,Name,StreetAddress,City,State,Zipcode,Latitude,Longitude
,Rite Aid,10811 Zelzah Ave,Granada Hills,CA,91344,34.266445,-118.5235
,Rite Aid,8400 Van Nuys Blvd,Panorama City,CA,91402,34.222771,-118.44868
,Rite Aid,7239 Woodman Ave,Van Nuys,CA,91405,34.202431,-118.4313
,Rite Aid,17266 Saticoy St,Van Nuys,CA,91406,34.208366,-118.50908
,Rite Aid,13333 Riverside Dr,Sherman Oaks,CA,91423,34.157669,-118.4235
,Rite Aid,935 N Hollywood Way,Burbank,CA,91505,34.167248,-118.34674
,Rite Aid,10989 Ventura Blvd,Studio City,CA,91604,34.140408,-118.36993
,Rite Aid,11350 Victory Blvd,North Hollywood,CA,91606,34.186653,-118.37885
,Rite Aid,12511 Magnolia Blvd,Valley Village,CA,91607,34.164909,-118.40596
,Rite Aid,1035 E Colorado Blvd,Pasadena,CA,91106,34.145985,-118.12902
,Rite Aid,1421 E Washington Blvd,Pasadena,CA,91104,34.169098,-118.12111
,Rite Aid,5747 Kanan Rd,Agoura Hills,CA,91301,34.155296,-118.7566
,Rite Aid,8230 Topanga Canyon Blvd,Canoga Park,CA,91304,34.219471,-118.60596
,Rite Aid,20141 Sherman Way,Canoga Park,CA,91306,34.201168,-118.57244
,Rite Aid,10120 Mason Ave,Chatsworth,CA,91311,34.254059,-118.57977
,Rite Aid,17864 Ventura Blvd,Encino,CA,91316,34.163425,-118.52186
,Rite Aid,10349 Sepulveda Blvd,Mission Hills,CA,91345,34.258438,-118.46753
,Rite Aid,26825 Bouquet Canyon Rd,Saugus,CA,91350,34.433548,-118.53058
,Rite Aid,16642 Soledad Canyon Rd,Canyon Country,CA,91387,34.426575,-118.42661
,Rite Aid,23335 Lyons Ave,Santa Clarita,CA,91355,34.379826,-118.54198
,Rite Aid,3825 E Thousand Oaks Blvd,THOUSAND OAKS,CA,91362,34.162956,-118.82645
,Rite Aid,21949 Ventura Blvd,Woodland Hills,CA,91364,34.168537,-118.60484
,Rite Aid,27716 McBean Pkwy,Valencia,CA,91354,34.444653,-118.55328
,Rite Aid,16930 Parthenia St,Northridge,CA,91343,34.228462,-118.50107
,Rite Aid,4710 Commons Way,Calabasas,CA,91302,34.153786,-118.64452
,Rite Aid,8508 Painter Ave,Whittier,CA,90602,33.96117,-118.03474
,Rite Aid,4037 Ball Rd,Cypress,CA,90630,33.817688,-118.06239
,Rite Aid,951 N Harbor Blvd,La Habra,CA,90631,33.94054,-117.93311
,Rite Aid,12319 Norwalk Blvd,Norwalk,CA,90650,33.919121,-118.0727
,Rite Aid,405 W Imperial Hwy,Brea,CA,92821,33.917557,-117.90347
,Rite Aid,6512 Comstock Ave,Whittier,CA,90601,33.982262,-118.03854
,Rite Aid,15800 Imperial Hwy,La Mirada,CA,90638,33.917229,-117.99433
,Rite Aid,220 E Grand Ave,El Segundo,CA,90245,33.919346,-118.41403
,Rite Aid,1208 W Redondo Beach Blvd,Gardena,CA,90247,33.892292,-118.29637
,Rite Aid,23 Peninsula Ctr,Rolling Hills Estates,CA,90274,33.775253,-118.37566
,Rite Aid,401 N Pacific Coast Hwy,Redondo Beach,CA,90277,33.836369,-118.38533
,Rite Aid,1720 Aviation Blvd,Redondo Beach,CA,90278,33.871113,-118.38233
,Rite Aid,2240 Sepulveda Blvd,Torrance,CA,90501,33.820347,-118.32117
,Rite Aid,1237 W Carson St,Torrance,CA,90502,33.831612,-118.29785
,Rite Aid,501 S Gaffey St,San Pedro,CA,90731,33.73938,-118.29237
,Rite Aid,28100 S Western Ave,San Pedro,CA,90732,33.76432,-118.31114
,Rite Aid,108 W Anaheim St,Wilmington,CA,90744,33.779896,-118.26308
,Rite Aid,601 Pine Ave,Long Beach,CA,90802,33.774372,-118.19241
