name,address_1,address_2,city,state,zip,phone,latitude,longitude,category,website,active,daycode1,day1_open,day1_close,daycode2,day2_open,day2_close,daycode3,day3_open,day3_close,daycode4,day4_open,day4_close,daycode5,day5_open,day5_close,daycode6,day6_open,day6_open,daycode7,day7_open,day7_close,year_round (y/n),season_open,season_close
Aspire Inskeep Academy,123 w 59th st,,Los Angeles,CA,,,33.98695759000,-118.27475011000,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Pinos Wholesale Nursery,7860 Whitsett Avenue,,North Hollywood,CA,,,34.21402184000,-118.40521411000,,,,,,,,,,,,,,,,,,,,,,,,,,
"A Plant Affair, Llc",1931 Blake Avenue,,Los Angeles,CA,,,34.09924732000,-118.24374726000,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boething Treeland Farms, Incorporated",23475 Long Valley Road,,Calabasas,CA,,,34.15909679000,-118.63920950000,,,,,,,,,,,,,,,,,,,,,,,,,,
Elysian Heights Es,1562 BAXTER ST,,Los Angeles,CA,,,34.08883456000,-118.24882078000,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack London Day,12924 Oxnard Street┬á,,North Hollywood,CA,,,34.17938773000,-118.41430737000,,,,,,,,,,,,,,,,,,,,,,,,,,
Loyola Marymount University,1 Loyola Marymount University Drive,,Los Angeles,CA,,,33.95498069000,-118.39823633000,,,,,,,,,,,,,,,,,,,,,,,,,,
Amestoy,1048 W. 149th St.,,Gardena,CA,,,33.89642346000,-118.29268980000,,,,,,,,,,,,,,,,,,,,,,,,,,
Micheltorena Street Elementary,1511 Micheltorena Street,,Los Angeles,CA,,,34.08906766000,-118.27493542000,,,,,,,,,,,,,,,,,,,,,,,,,,
Park Western,1214 Park Western Place,,San Pedro,CA,,,33.75328707000,-118.30459093000,,,,,,,,,,,,,,,,,,,,,,,,,,
Pueblo De Los Angeles Continuation,2506 ALTA ST,,Los Angeles,CA,,,34.07535671000,-118.20440566000,,,,,,,,,,,,,,,,,,,,,,,,,,
Glendale Unified School District,223 North Jackson Street,,Glendale,CA,,,34.14894898000,-118.25016560000,,,,,,,,,,,,,,,,,,,,,,,,,,
Montague Charter Academy,13000 Montague Street,,Pacoima,CA,,,34.24442016000,-118.41556457000,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwood Street Elementary,2020 OAK ST,,Los Angeles,CA,,,34.03528858000,-118.27874972000,,,,,,,,,,,,,,,,,,,,,,,,,,
Granada Middle School,15337 Lemon Drive,,La Mirada,CA,,,33.92323776000,-118.00299868000,,,,,,,,,,,,,,,,,,,,,,,,,,
Whittier Elementary School,1761 Walnut Avenue,,Long Beach,CA,,,33.78913953000,-118.17205744000,,,,,,,,,,,,,,,,,,,,,,,,,,
Obama Global Prep Academy,1700 W. 46th Street,,Los Angeles,CA,,,34.00186036000,-118.30903595000,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenfeliz Elementary School,3955 Glenfeliz Blvd,,Los Angeles,CA,,,34.12238872000,-118.26784440000,,,,,,,,,,,,,,,,,,,,,,,,,,
La Conte Middle School And Citizens Of The World Charter School,1316 North Bronson Ave.,,Los Angeles,CA,,,34.09481018000,-118.31794662000,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheremoya Elementary School,6017 Franklin Avenue,,Los Angeles,CA,,,34.10526839000,-118.32101894000,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Enterprises,34810 Largo Vista Rd.,,Llano,CA,,,34.51425066000,-117.76523588000,,,,,,,,,,,,,,,,,,,,,,,,,,
Worldwide Exotics Inc,11157 Orcas Ave,,Sylmar,CA,,,34.27189137000,-118.36859166000,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet Peach Farm,13502 Lubican St.,,Baldwin Park,CA,,,34.08474358000,-117.97923941000,,,,,,,,,,,,,,,,,,,,,,,,,,
Healthy Greens Co,817 E. Clemmer Dr.,,Compton,CA,,,33.87938821000,-118.21292974000,,,,,,,,,,,,,,,,,,,,,,,,,,
Marengo School Garden,1400 Marengo Avenue,,,CA,,,0.00000000000,0.00000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
Monterey Road Eco-Community Garden - West,827 Monterey Road,,Glendale,CA,,,34.15765932000,-118.24566801000,,,,,,,,,,,,,,,,,,,,,,,,,,
Arleta Community Garden,8800 Canterbury Avenue,,Pacoima,CA,,,34.22961903000,-118.42451218000,,,,,,,,,,,,,,,,,,,,,,,,,,
South Pasadena Community Garden,1028 Magnolia Street,,South Pasadena,CA,,,34.11783121000,-118.15617173000,,,,,,,,,,,,,,,,,,,,,,,,,,
Salesian Boys & Girls Club Community Garden,2228  E. 4th St.,,Los Angeles,CA,,,34.04127550000,-118.21333068000,,,,,,,,,,,,,,,,,,,,,,,,,,
Verdugo Park Community Garden,1621 Canada Boulevard,,Glendale,CA,,,34.17010306000,-118.22917974000,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamazaki Memorial Community Garden,961 S. Mariposa Avenue,,Los Angeles,CA,,,34.05387011000,-118.29899293000,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ironwood Unlimited, Inc. Dba El Nativo Growers",200 S. Peckham Road,,Azusa,CA,,,34.12061767000,-117.93748390000,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jiamei Garden U.S.A., Incorporated",2304 Lee Avenue,,South El Monte,CA,,,34.05452940000,-118.06725058000,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lincoln Avenue Nursery, Incorporated",804 Lincoln Avenue,,Pasadena,CA,,,34.15833725000,-118.15684962000,,,,,,,,,,,,,,,,,,,,,,,,,,
"Armstrong Garden Centers, Incorporated",3226 Wilshire Boulevard,,Santa Monica,CA,,,34.04103773000,-118.47118108000,,,,,,,,,,,,,,,,,,,,,,,,,,
Peachland Elementary,24800 Peachland Avenue,,Newhall,CA,,,34.37478226000,-118.54603343000,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Maria Gorreti Catholic School,3950 Palo Verde Ave,,Long Beach,CA,,,33.82876034000,-118.10776600000,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequoyah Elementary,535 S Pasadena Avenue,,Pasadena,CA,,,34.13679242000,-118.15415258000,,,,,,,,,,,,,,,,,,,,,,,,,,
Sch Valmont Elementary,3801 Via La Selva,,Palos Verdes Peninsula,CA,,,33.80125405000,-118.36527966000,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilkerson Elementary,2700 N. Doreen Ave,,South El Monte,CA,,,34.06104450000,-118.04473348000,,,,,,,,,,,,,,,,,,,,,,,,,,
Altadena Community Garden,3330 N. Lincoln Avenue,,Altadena,CA,,,34.20303348000,-118.15917972000,,,,,,,,,,,,,,,,,,,,,,,,,,
Bougainvillea Community Garden,E. 103rd Street & Grape Street,,Los Angeles,CA,,,33.94313413000,-118.23695798000,,,,,,,,,,,,,,,,,,,,,,,,,,
"Long Beach Organic, Inc. - Wrigley Village Garden",2044 Pacific Avenue,,Long Beach,CA,,,33.79431105000,-118.19364621000,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheremoya Ave Elementary,6017 Franklin Avenue,,Los Angeles,CA,,,34.10526839000,-118.32101894000,,,,,,,,,,,,,,,,,,,,,,,,,,
Carson-Gore Academy Of Environmental Studies School,3200 W. Washington Blvd.,,Los Angeles,CA,,,34.03986289000,-118.31914944000,,,,,,,,,,,,,,,,,,,,,,,,,,
Clifford Street Elementary School,2150 Duane St.,,Los Angeles,CA,,,34.08939517000,-118.25793048000,,,,,,,,,,,,,,,,,,,,,,,,,,
Valley View Elementary School,6921 Woodrow Wilson Drive,,Los Angeles,CA,,,34.12479669000,-118.34465103000,,,,,,,,,,,,,,,,,,,,,,,,,,
The Accelerated School,116 E. Martin Luther King Jr. Blvd.,,Los Angeles,CA,,,34.01112349000,-118.27313936000,,,,,,,,,,,,,,,,,,,,,,,,,,
Manzanita School,1717 Old Topanga Canyon,,Topanga,CA,,,34.11160110000,-118.63379914000,,,,,,,,,,,,,,,,,,,,,,,,,,
Westport Heights,6011 W. 79th St.,,Los Angeles,CA,,,33.96634769000,-118.38879744000,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Altos Elementary,15565 Los Altos Drive,,Hacienda Heights,CA,,,33.98823993000,-117.97809214000,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnolia Place Childrens Bureau,1910 Magnolia Ave,,Los Angeles,CA,,,34.03963095000,-118.28639599000,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaguchi Bonsai Nursery,1905 Sawtelle Boulevard,,Los Angeles,CA,,,34.04236654000,-118.44489563000,,,,,,,,,,,,,,,,,,,,,,,,,,
Abalone Cove Farm,5521 Palos Verde Dr. S.,,Rancho Palos Verdes,CA,,,33.74184399000,-118.37430303000,,,,,,,,,,,,,,,,,,,,,,,,,,
JF Organic Farm,210 N. 9th Ave.,,Hacienda Heights,CA,,,34.01400246000,-117.98139146000,,,,,,,,,,,,,,,,,,,,,,,,,,
Kwa Luk Gardens,2020 Buenos Aires Dr.,,Covina,CA,,,34.05592164000,-117.85664029000,,,,,,,,,,,,,,,,,,,,,,,,,,
Precision Agritechnologies,12838 Weber Way,,Hawthorne,CA,,,33.91607906000,-118.33152345000,,,,,,,,,,,,,,,,,,,,,,,,,,
John S. Gibson Senior Garden,1500 S. Harbor Boulevard,,San Pedro,CA,,,33.73079468000,-118.27995750000,,,,,,,,,,,,,,,,,,,,,,,,,,
"Armstrong Garden Centers, Incorporated",735 East Foothill Boulevard,,Claremont,CA,,,34.10691761000,-117.70075580000,,,,,,,,,,,,,,,,,,,,,,,,,,
Mulhall Elementary School,10900 Mulhall Street,,El Monte,CA,,,34.08930724000,-118.02914834000,,,,,,,,,,,,,,,,,,,,,,,,,,
Sempervirens Botanical Company,18715 S. Western Avenue,,Torrance,CA,,,33.86064819000,-118.30920026000,,,,,,,,,,,,,,,,,,,,,,,,,,
Vine Street Elementary School,955 North VIne Street,,Los Angeles,CA,,,34.08819276000,-118.32664832000,,,,,,,,,,,,,,,,,,,,,,,,,,
32Nd Street Usc Performing Arts,822 W 32ND ST,,Los Angeles,CA,,,34.02491509000,-118.28219079000,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harris, Dale E Or Cary Harris",5181 Mountain Springs Ranch Rd,,La Verne,CA,,,34.14509656000,-117.77219870000,,,,,,,,,,,,,,,,,,,,,,,,,,
Good Earth Community Garden,Corner of Clyde Avenue and Boden Street - Across from 5571 Boden,,Los Angeles,CA,,,34.02711268000,-118.36620703000,,,,,,,,,,,,,,,,,,,,,,,,,,
Fremont Wellness Center & Community Garden,7821 S. Avalon Blvd.,,Los Angeles,CA,,,33.96816788000,-118.26519728000,,,,,,,,,,,,,,,,,,,,,,,,,,
"Long Beach Organic, Inc. - Grace Park Garden",325 E. Plymouth Street,,Long Beach,CA,,,33.85333950000,-118.18948804000,,,,,,,,,,,,,,,,,,,,,,,,,,
"Long Beach Organic, Inc. - South Forty Garden",2813 South Street,,Long Beach,CA,,,33.86020797000,-118.15843324000,,,,,,,,,,,,,,,,,,,,,,,,,,
Parkman Gardens,20800 Burbank Boulevard,,Woodland Hills,CA,,,34.17194315000,-118.58674942000,,,,,,,,,,,,,,,,,,,,,,,,,,
Baldwin Park Community Garden,13067 Bess Avenue,,Baldwin Park,CA,,,34.06554513000,-117.98934330000,,,,,,,,,,,,,,,,,,,,,,,,,,
"M.B. Nursery And Landscaping, Incorporated",19202 Main Street,,Wilmington,CA,,,33.80287672000,-118.27553549000,,,,,,,,,,,,,,,,,,,,,,,,,,
Medall Orchids,4302 Baldwin Park Boulevard,,Baldwin Park,CA,,,34.09061197000,-117.96486621000,,,,,,,,,,,,,,,,,,,,,,,,,,
Theodore Payne Foundation,10459 Tuxford Street,,Sun Valley,CA,,,34.23553861000,-118.35955920000,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Oaks Elementary,2499 Royal Oaks Drive,,Duarte,CA,,,34.14342747000,-117.95092439000,,,,,,,,,,,,,,,,,,,,,,,,,,
Rowland Avenue Elementary School,1355 East Rowland Avenue,,West Covina,CA,,,34.07923845000,-117.91796296000,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Leadership Center At Miguel Contreras School,322 S. Lucas Ave.,,Los Angeles,CA,,,34.05807560000,-118.26172059000,,,,,,,,,,,,,,,,,,,,,,,,,,
Carpenter Community Charter,3909 Carpenter Avenue,,Studio City,CA,,,34.14095546000,-118.39203759000,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Feliz Science/Tech/Engineer/Math/Medicine Magnet,1740 N NEW HAMPSHIRE AVE,,Los Angeles,CA,,,34.10259119000,-118.29330636000,,,,,,,,,,,,,,,,,,,,,,,,,,
El Nido Family Ctr Head Start,2152 W. Manchester Ave.,,Los Angeles,CA,,,33.95994315000,-118.31741981000,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitchell Comm Elementary,16821 W. Goodvale Street,,Canyon Country,CA,,,34.42932126000,-118.46527400000,,,,,,,,,,,,,,,,,,,,,,,,,,
Mulholland,17120 Vanowen St.,,Santa Clarita,CA,,,34.19385261000,-118.50691944000,,,,,,,,,,,,,,,,,,,,,,,,,,
Meadowlark Elementary School,3015 sacramento Ave,,Acton,CA,,,34.47355563000,-118.18315992000,,,,,,,,,,,,,,,,,,,,,,,,,,
The Accelerated Schools-Aces 1,119 E. 37th Street,,Los Angeles,CA,,,34.01492774000,-118.27330952000,,,,,,,,,,,,,,,,,,,,,,,,,,
Caldera Bees,207 S. Vancouver Ave,,Los Angeles,CA,,,34.03509008000,-118.15684257000,,,,,,,,,,,,,,,,,,,,,,,,,,
Braeridge Farms,1331 Braeridge Dr.,,,CA,,,0.00000000000,0.00000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
Rachel's Office,700 West Main Street,,,CA,,,0.00000000000,0.00000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
Kit Carson Elementary School,3530 W 147th St.,,,CA,,,0.00000000000,0.00000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
Jane Addams Middle School,4535 W. 153rd Pl.,,,CA,,,0.00000000000,0.00000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
William Green Elementary School,4520 W 168th St,,,CA,,,0.00000000000,0.00000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucille Smith Elementary School,4521 W 147th St.,,,CA,,,0.00000000000,0.00000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
Rogers Middle School,4110 W 154th St.,,,CA,,,0.00000000000,0.00000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
Seeds to Plate Program at Mark Twain Middle School,2224 Walgrove Avenue,,,CA,,,0.00000000000,0.00000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
Janet Lai,2878 Roosevelt Street,,La Verne,CA,,,34.09584400000,-117.75677537000,,,,,,,,,,,,,,,,,,,,,,,,,,
Marquez Charter School,16821 Marquez Avenue,,,CA,,,0.00000000000,0.00000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
Coeur d'Alene School Garden,810 Coeur d'Alene Avenue,,,CA,,,0.00000000000,0.00000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
San Pascual STEAM Magnet,815 San Pascual Avenue,,,CA,,,0.00000000000,0.00000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
Walgrove Elementary School,1630 Walgrove Ave.,,,CA,,,0.00000000000,0.00000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
24Th Street Elementary,2055 W 24TH ST,,Los Angeles,CA,,,34.03474858000,-118.31012015000,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia Park Community Garden,4045 190th Street,,Torrance,CA,,,33.85831704000,-118.34458867000,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Growers Plus, Incorporated",18830 Strathern Street,,Reseda,CA,,,34.21561430000,-118.54334694000,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Park Community Garden,27150 Bouquet Canyon Road,,Santa Clarita,CA,,,34.42691139000,-118.53727913000,,,,,,,,,,,,,,,,,,,,,,,,,,
Amigos Nursery,1420 92th Street,,Los Angeles,CA,,,33.94942949000,-118.24622413000,,,,,,,,,,,,,,,,,,,,,,,,,,
Anelo Landscape Soln'S Inc Dba Rolling Hills Nurs.,7150 Jackson Street,,Paramount,CA,,,33.88546464000,-118.17394773000,,,,,,,,,,,,,,,,,,,,,,,,,,
City Of Santa Monica Euclid Park Community Garden,1525 Euclid Street,,Santa Monica,CA,,,34.02151293000,-118.48452047000,,,,,,,,,,,,,,,,,,,,,,,,,,
Annandale Garden Center,7720 N. Figueroa Street,,Pasadena,CA,,,34.14508496000,-118.18343427000,,,,,,,,,,,,,,,,,,,,,,,,,,
City Of Santa Monica Main Street Community Garden,2300 Main Street,,Santa Monica,CA,,,34.00479713000,-118.48658478000,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anthony Tesselaar Usa, Incorporated",15200 Mansel Avenue,,Lawndale,CA,,,33.89343040000,-118.35583653000,,,,,,,,,,,,,,,,,,,,,,,,,,
City Of Santa Monica Park Drive Community Garden,1400 Park Drive,,Santa Monica,CA,,,34.03189801000,-118.47590786000,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbor Nursery Plus,2865 Royal Oaks Drive,,Duarte,CA,,,34.14485859000,-117.94344431000,,,,,,,,,,,,,,,,,,,,,,,,,,
Crenshaw Community Garden,1423 S. Crenshaw Boulevard,,Los Angeles,CA,,,34.04616101000,-118.32764726000,,,,,,,,,,,,,,,,,,,,,,,,,,
Armando Orozco Nursery,12205 Saticoy Street,,North Hollywood,CA,,,34.20849865000,-118.39929608000,,,,,,,,,,,,,,,,,,,,,,,,,,
Armando Sedano,1825 Monica Court,,Rowland Heights,CA,,,33.98794362000,-117.91776287000,,,,,,,,,,,,,,,,,,,,,,,,,,
Center Street Garden,196 E. Center Street,,Pomona,CA,,,34.06146068000,-117.74824335000,,,,,,,,,,,,,,,,,,,,,,,,,,
Alta Greens,3796 Alzada Rd,,Altadena,CA,,,34.20698219000,-118.14638435000,,,,,,,,,,,,,,,,,,,,,,,,,,
Alvarez Gardens,10644 Tuxford Street,,Sun Valley,CA,,,34.23581367000,-118.36292988000,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodian Seniors Gardening Project,1851 Cerritos Avenue,,Long Beach,CA,,,33.79086111000,-118.17743265000,,,,,,,,,,,,,,,,,,,,,,,,,,
Alvarez Nursery,11362 Woodley Ave,,Granada Hills,CA,,,34.27703032000,-118.48465170000,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Community Garden,1201 Detroit St.,,Los Angeles,CA,,,34.09261222000,-118.34522154000,,,,,,,,,,,,,,,,,,,,,,,,,,
